"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.33148604547163e-14,2.69181556969506,0.38,0.078,6.77469006865465e-10,"B_cell","PLEKHF2"
6.89556118307257e-14,0.567285643417915,1,0.905,7.37825046588765e-10,"B_cell","RPSA"
1.02921797402499e-13,3.02414475834629,0.26,0.036,1.10126323220674e-09,"B_cell","TMEM156"
1.84464752769889e-13,3.263833094331,0.26,0.038,1.97377285463781e-09,"B_cell","TCF4"
3.25375863183985e-13,0.585945087679797,0.98,0.874,3.48152173606864e-09,"B_cell","EEF1B2"
3.25480884569702e-13,0.672358582381238,1,0.82,3.48264546489582e-09,"B_cell","RPSAP58"
6.06621036267435e-13,2.06198455400175,0.54,0.17,6.49084508806155e-09,"B_cell","SYPL1"
6.45974678105948e-13,0.306299267820101,1,0.987,6.91192905573365e-09,"B_cell","RPS8"
6.48152015320132e-13,0.285199897801265,1,0.997,6.93522656392541e-09,"B_cell","RPL18A"
7.25141998937059e-13,0.357430617184479,1,0.977,7.75901938862653e-09,"B_cell","RPS21"
1.05197464246557e-12,0.378158795644996,1,0.973,1.12561286743816e-08,"B_cell","RPS10"
1.34548459135278e-12,0.324454818962931,1,0.989,1.43966851274748e-08,"B_cell","RPL18"
1.36042752816606e-12,2.85638931291479,0.3,0.053,1.45565745513769e-08,"B_cell","FAM3C"
1.41589472051923e-12,1.04415274204966,0.9,0.624,1.51500735095558e-08,"B_cell","CXCR4"
1.67406970883585e-12,0.31048847932374,1,0.99,1.79125458845436e-08,"B_cell","RPL9"
1.718101173362e-12,0.367397020991477,1,0.984,1.83836825549734e-08,"B_cell","RPS25"
3.46391376864436e-12,0.309995190766431,1,0.988,3.70638773244946e-08,"B_cell","RPL15"
4.25208023730936e-12,0.295828562685689,1,0.992,4.54972585392102e-08,"B_cell","RPL30"
6.12367456114746e-12,0.363173298308249,1,0.958,6.55233178042778e-08,"B_cell","RPL5"
6.7022590975984e-12,0.272269766982037,1,0.996,7.17141723443029e-08,"B_cell","RPS6"
7.73966060457278e-12,0.257719286293674,1,0.992,8.28143684689287e-08,"B_cell","RPL19"
7.76782934624424e-12,2.05189860676274,0.46,0.127,8.31157740048134e-08,"B_cell","BTG2"
8.54781302861806e-12,0.335608362310656,1,0.984,9.14615994062132e-08,"B_cell","RPS20"
9.38398998083045e-12,1.80283791492875,0.6,0.23,1.00408692794886e-07,"B_cell","SNX2"
9.63489754641295e-12,0.276209911952627,1,0.992,1.03093403746619e-07,"B_cell","RPL8"
1.07949584241153e-11,2.54680649331024,0.32,0.065,1.15506055138033e-07,"B_cell","CD82"
1.18131765317021e-11,0.324418625987192,1,0.98,1.26400988889213e-07,"B_cell","RPL7A"
2.59257570435808e-11,0.261385580528299,1,0.995,2.77405600366315e-07,"B_cell","RPL11"
2.88058530857685e-11,1.55923422012674,0.66,0.28,3.08222628017723e-07,"B_cell","HLA-DMA"
3.76979866528755e-11,0.272370007246042,1,0.998,4.03368457185768e-07,"B_cell","RPS27"
3.79085620517171e-11,0.403152315034701,1,0.93,4.05621613953373e-07,"B_cell","NBEAL1"
3.96149049761363e-11,1.35597202583396,0.76,0.361,4.23879483244658e-07,"B_cell","ISG20"
5.01994184112991e-11,0.269683870440088,1,0.991,5.371337770009e-07,"B_cell","RPS13"
5.09672478628801e-11,0.330209154286842,1,0.99,5.45349552132817e-07,"B_cell","RPL23A"
6.79679499762261e-11,1.91901664415375,0.48,0.151,7.2725706474562e-07,"B_cell","SMIM14"
7.42839248342068e-11,2.18954516939338,0.42,0.121,7.94837995726013e-07,"B_cell","SMARCB1"
1.037735859187e-10,0.285854197667787,1,0.988,1.11037736933009e-06,"B_cell","RPL36"
1.23409746401464e-10,2.37102836717298,0.32,0.07,1.32048428649567e-06,"B_cell","GGA2"
1.27488263404955e-10,0.253625384288688,1,0.994,1.36412441843302e-06,"B_cell","RPS18"
1.43310291848361e-10,0.650429542885114,1,0.805,1.53342012277746e-06,"B_cell","GLTSCR2"
1.6551427360319e-10,0.309099644950567,1,0.988,1.77100272755413e-06,"B_cell","RPL3"
1.70210571861603e-10,2.20971197722215,0.42,0.127,1.82125311891916e-06,"B_cell","MBD4"
1.80319857427727e-10,0.304321759628804,1,0.986,1.92942247447668e-06,"B_cell","RPS29"
2.24887928628215e-10,0.272545824473484,1,0.99,2.4063008363219e-06,"B_cell","RPL27A"
3.41528709397466e-10,0.302238700722797,1,0.98,3.65435719055289e-06,"B_cell","RPL31"
3.99286704664888e-10,1.13618391282863,0.76,0.415,4.27236773991431e-06,"B_cell","SEC62"
4.8640512089524e-10,1.96872993377571,0.44,0.136,5.20453479357907e-06,"B_cell","HHEX"
6.22357739914662e-10,1.58323102120642,0.6,0.255,6.65922781708689e-06,"B_cell","MEF2C"
1.17322386107814e-09,0.373841122329956,1,0.939,1.25534953135361e-05,"B_cell","RPL4"
1.6134364309874e-09,0.263192865604907,1,0.987,1.72637698115652e-05,"B_cell","RPS4X"
2.35159620812594e-09,2.1609134171387,0.32,0.077,2.51620794269476e-05,"B_cell","SP140"
2.35936309873926e-09,2.05941091363917,0.38,0.111,2.524518515651e-05,"B_cell","GAPT"
3.40135320649875e-09,0.274743248443961,1,0.98,3.63944793095367e-05,"B_cell","RPS7"
3.93053894391525e-09,0.308752287259516,1,0.963,4.20567666998932e-05,"B_cell","GNB2L1"
4.06372734202468e-09,1.72286689766361,0.52,0.205,4.3481882559664e-05,"B_cell","STX7"
6.54762677349365e-09,0.470981025909975,1,0.907,7.00596064763821e-05,"B_cell","BTG1"
7.06051021705181e-09,0.333420694925636,1,0.957,7.55474593224543e-05,"B_cell","RPL10A"
8.94355984697634e-09,2.35107316257139,0.28,0.066,9.56960903626468e-05,"B_cell","DNPH1"
1.10209939996729e-08,0.258808336360135,1,0.979,0.0001179246357965,"B_cell","RPL38"
1.11141193439181e-08,0.385725979361438,0.98,0.916,0.000118921076979924,"B_cell","RPLP0"
1.58547283119996e-08,1.12204209417402,0.76,0.406,0.000169645592938396,"B_cell","PLAC8"
1.60008074920161e-08,2.12789938688084,0.34,0.096,0.000171208640164573,"B_cell","KIAA0040"
1.81271218434592e-08,1.46157072719468,0.58,0.258,0.000193960203725014,"B_cell","DRAM2"
3.0606025875696e-08,2.08874085265941,0.32,0.09,0.000327484476869947,"B_cell","BASP1"
3.60944367038114e-08,1.92910953183111,0.36,0.109,0.000386210472730782,"B_cell","ST6GAL1"
4.07237029231877e-08,1.18363850723886,0.68,0.358,0.000435743621278109,"B_cell","C6orf48"
4.28257360614319e-08,1.9791947582683,0.3,0.078,0.000458235375857322,"B_cell","HSH2D"
4.82209644147065e-08,1.27348763101864,0.6,0.284,0.00051596431923736,"B_cell","TNFAIP8"
4.91902945737855e-08,1.94402928098752,0.36,0.11,0.000526336151939505,"B_cell","CEPT1"
7.2093014066633e-08,0.276593045456286,1,0.977,0.000771395250512973,"B_cell","RPL22"
8.82555118556128e-08,2.12499422650602,0.3,0.082,0.000944333976855057,"B_cell","GPR183"
9.40877883273476e-08,2.1115897331596,0.28,0.073,0.00100673933510262,"B_cell","GUCD1"
1.29779306503058e-07,1.85413107956471,0.36,0.116,0.00138863857958272,"B_cell","LMBRD1"
1.6651300933468e-07,1.71764033758301,0.36,0.112,0.00178168919988108,"B_cell","ARID5B"
1.73603372879216e-07,0.326036836319325,1,0.931,0.00185755608980762,"B_cell","RPL17"
1.85183360733033e-07,2.22533704819698,0.28,0.078,0.00198146195984345,"B_cell","SHMT2"
2.25643073003283e-07,1.89579891216905,0.32,0.095,0.00241438088113513,"B_cell","ZCCHC7"
2.38878259266044e-07,0.273192024011577,1,0.957,0.00255599737414667,"B_cell","NACA"
2.46774767931195e-07,0.568633183796349,0.9,0.755,0.00264049001686379,"B_cell","NPM1"
2.70982036547583e-07,1.26826547256782,0.6,0.302,0.00289950779105914,"B_cell","MIR142"
4.11258851720705e-07,1.06168944512299,0.68,0.415,0.00440046971341155,"B_cell","POLD4"
4.49548319963366e-07,0.528030543768073,0.9,0.79,0.00481016702360801,"B_cell","ZNF90"
4.54982761661525e-07,0.871138802735071,0.86,0.476,0.00486831554977832,"B_cell","PTPRCAP"
5.17189802382635e-07,0.814675597105118,0.8,0.54,0.0055339308854942,"B_cell","PNISR"
5.40546345619997e-07,2.13107097278397,0.28,0.081,0.00578384589813397,"B_cell","SNX29P2"
7.35681256162898e-07,1.64485926698096,0.36,0.122,0.00787178944094301,"B_cell","PPM1K"
8.10276860102118e-07,2.25161784113657,0.26,0.073,0.00866996240309267,"B_cell","CYSLTR1"
9.13117499146252e-07,0.991295198187567,0.68,0.45,0.0097703572408649,"B_cell","HSP90AB1"
9.8288531376782e-07,0.334649157480171,1,0.945,0.0105168728573157,"B_cell","TXNIP"
9.94322258770595e-07,0.77257789479563,0.82,0.574,0.0106392481688454,"B_cell","SRSF5"
1.62820031939556e-06,0.260901512691921,1,0.965,0.0174217434175325,"B_cell","RPL23"
1.87578931633958e-06,1.81693545491566,0.32,0.106,0.0200709456848336,"B_cell","RP11-220I1.1"
1.9483366533643e-06,1.50318969384854,0.44,0.18,0.020847202190998,"B_cell","TSTD1"
2.01454775072978e-06,0.26899118077764,1,0.955,0.0215556609328086,"B_cell","RPL36A"
2.34452795655829e-06,1.20995211637589,0.5,0.205,0.0250864491351737,"B_cell","LBH"
2.37106896569069e-06,1.56788977812317,0.3,0.09,0.0253704379328904,"B_cell","ZNF302"
2.43798774593641e-06,1.98956885594154,0.3,0.101,0.0260864688815196,"B_cell","GLO1"
2.64731399056388e-06,0.337204528555768,1,0.928,0.0283262596990335,"B_cell","CD52"
2.84044139311299e-06,1.25509722430908,0.54,0.273,0.030392722906309,"B_cell","RASGRP2"
3.44526204756965e-06,1.84610465340579,0.3,0.098,0.0368643039089952,"B_cell","THOC3"
3.48415257567647e-06,1.54116725664616,0.34,0.115,0.0372804325597383,"B_cell","ZNF22"
3.48641610413079e-06,1.54240253733259,0.38,0.144,0.0373046523141995,"B_cell","OARD1"
3.78572332189292e-06,0.666250097899501,0.9,0.652,0.0405072395442542,"B_cell","LIMD2"
3.85715654952631e-06,1.31063441234801,0.5,0.226,0.0412715750799315,"B_cell","SNHG8"
3.9372313068611e-06,1.32032974652845,0.5,0.251,0.0421283749834137,"B_cell","LY86"
4.30704790469619e-06,1.17601005527956,0.58,0.324,0.0460854125802492,"B_cell","RP11-356C4.3"
4.58257548542461e-06,2.00330916310241,0.28,0.092,0.0490335576940433,"B_cell","DDAH2"
4.66619444667523e-06,2.02883174480151,0.26,0.079,0.049928280579425,"B_cell","TCOF1"
5.19149373268202e-06,1.63517230377657,0.32,0.11,0.0555489829396976,"B_cell","CCDC90B"
6.02176879199225e-06,0.973638327622765,0.64,0.361,0.0644329260743171,"B_cell","RNASET2"
7.40593633742671e-06,1.18404943816573,0.52,0.264,0.0792435188104658,"B_cell","CTSH"
7.79713514459781e-06,0.947924520474797,0.66,0.364,0.0834293460471966,"B_cell","SELL"
8.69853245297534e-06,1.65110232279212,0.32,0.115,0.0930742972468361,"B_cell","MAP4K1"
9.05310182218455e-06,1.57882028226806,0.38,0.158,0.0968681894973747,"B_cell","PARP1"
9.57373294452323e-06,1.15167018423402,0.54,0.281,0.102438942506399,"B_cell","SP110"
9.98024377811347e-06,1.77814671815777,0.3,0.105,0.106788608425814,"B_cell","BTK"
1.00333161724428e-05,0.727010276558207,0.82,0.588,0.107356483045138,"B_cell","EIF4A2"
1.08942750609832e-05,1.25979009216874,0.46,0.212,0.11656874315252,"B_cell","DCK"
